id,ime,cas_priprave,postopek,kratek_opis,avtor,tezavnost,kategorija
11,Domač vanilijev sladoled,240,"Mleko segrejemo skupaj z vanilijo. Rumenjake stepemo s sladkorjem in jim počasi prilijemo toplo mleko. Zmes kuhamo na nizkem ognju, dokler se ne zgosti. Dodamo sladko smetano in maso popolnoma ohladimo. Sladoled zamrznemo ter ga med zamrzovanjem večkrat premešamo za kremasto teksturo.","Kremast domač sladoled z bogatim okusom vanilije.",3,2,5
12,Jabolčni zavitek,90,"Testo tanko razvaljamo na kuhinjski krpi. Jabolka olupimo in naribamo ter jim dodamo cimet, sladkor in rozine. Nadev razporedimo po testu in ga previdno zvijemo. Zavitek premažemo z maslom in pečemo približno 40 minut. Pred serviranjem ga posujemo s sladkorjem v prahu.","Tradicionalni domači zavitek z jabolki in cimetom.",76,3,9
13,Medenjaki,60,"Med segrejemo skupaj z maslom. Dodamo moko, sladkor, jajce in začimbe ter zgnetemo testo. Testo pustimo počivati, nato ga razvaljamo in izrežemo različne oblike. Medenjake pečemo približno 10 minut. Ko se ohladijo, jih lahko okrasimo z belo glazuro.","Dišeči praznični piškoti z medom in toplimi začimbami.",28,1,2
14,Palačinke z marmelado,30,"Iz moke, mleka in jajc pripravimo gladko maso brez grudic. Na segreti ponvi spečemo tanke palačinke z obeh strani. Še tople namažemo z marmelado in jih zvijemo ali prepognemo. Po želji jih posujemo s sladkorjem v prahu.","Klasična domača sladica za hitro pripravo.",49,1,10
15,Bananin kruh,75,"Banane pretlačimo z vilico in jih zmešamo z jajci, sladkorjem in stopljenim maslom. Dodamo moko in pecilni prašek. Maso vlijemo v podolgovat model in pečemo približno 50 minut. Ohlajen kruh narežemo na rezine in postrežemo.","Sočen kolač z okusom zrelih banan.",95,2,10
16,Makroni,150,"Beljake stepemo v trd sneg in postopoma dodajamo sladkor. Primešamo mandljevo moko in maso nežno mešamo do gladke teksture. Z dresirno vrečko oblikujemo kroge na pekaču in jih pustimo počivati 30 minut. Pečemo jih pri nizki temperaturi. Ohlajene makrone napolnimo s čokoladno ali sadno kremo.","Elegantni francoski piškoti s hrustljavo skorjico in mehko sredico.",11,3,2
17,Čokoladni sufle,45,"Čokolado in maslo stopimo nad paro. Ločeno stepemo jajca in sladkor, nato dodamo stopljeno čokolado in moko. Modelčke namažemo z maslom in jih napolnimo z maso. Sufleje pečemo kratek čas, da sredica ostane tekoča. Postrežemo jih takoj po peki.","Topla čokoladna sladica s tekočo sredico.",67,3,4
18,Sadni smoothie,15,"Sadje narežemo na manjše koščke in ga damo v blender. Dodamo mleko, led in po želji med. Vse skupaj miksamo, dokler ne dobimo gladke teksture. Smoothie postrežemo dobro ohlajen.","Osvežilen sadni napitek za vroče dni.",39,1,7
19,Krofi z marmelado,120,"Iz moke, mleka, kvasa in jajc pripravimo kvašeno testo. Testo pustimo vzhajati približno eno uro. Nato oblikujemo krofe in jih ponovno pustimo vzhajati. Krofe ocvremo v vročem olju do zlato rjave barve in jih napolnimo z marmelado.","Mehki domači krofi s sladkim marmeladnim nadevom.",52,2,4
20,Čokoladni piškoti,45,"Maslo in sladkor penasto stepemo. Dodamo jajce in moko ter primešamo koščke čokolade. Iz mase oblikujemo majhne kupčke in jih pečemo približno 15 minut. Piškoti se med peko rahlo razlezejo in postanejo hrustljavi na robovih.","Hrustljavi piškoti s koščki temne čokolade.",88,1,2
